,Tag,Codes,simSeconds,hostSeconds
96,plus_48,"#include <stdio.h>

int sub10000(int n, int const_value, int i) {
    return i == 0 ? n : sub10000(n - const_value, const_value, i - 1);
}

int main() {
    int num = 1000;
    const int const_value = 10;
    int result = sub10000(num, const_value, 1000);
    
    return 0;
}
",0.000391,0.24
97,plus_49,"#include <stdio.h>

int sub10000(int n, int const_value, int i) {
    return i == 0 ? n : sub10000(n - const_value, const_value, i - 1);
}

int main() {
    int num = 1000;
    const int const_value = 10;
    int result = sub10000(num, const_value, 500);
    
    return 0;
}
",0.000359,0.25
98,plus_50,"#include <stdio.h>

int sub100(int n, int const_value, int i) {
    return i == 0 ? n : sub100(n - const_value, const_value, i - 1);
}

int addPrev(int n, int i) {
    return i == 0 ? n : addPrev(n + (n - 100), i - 1);
}

int main() {
    int num = 1000;
    const int const_value = 10;
    int result1 = sub100(num, const_value, 100);
    int result2 = addPrev(result1, 50);
   
    return 0;
}
",0.000336,0.24
99,plus_51,"#include <stdio.h>

int sub100(int n, int const_value, int i) {
    return i == 0 ? n : sub100(n - const_value, const_value, i - 1);
}

int addPrev(int n, int i) {
    return i == 0 ? n : addPrev(n + (n - 100), i - 1);
}

int main() {
    int num = 1000;
    const int const_value = 10;
    int result1 = sub100(num, const_value, 1000);
    int result2 = addPrev(result1, 500);
   
    return 0;
}
",0.000407,0.26
100,plus_52,"#include <stdio.h>

int sub100(int n, int const_value, int i) {
    return i == 0 ? n : sub100(n - const_value, const_value, i - 1);
}

int addPrev(int n, int i) {
    return i == 0 ? n : addPrev(n + (n - 100), i - 1);
}

int main() {
    int num = 1000;
    const int const_value = 10;
    int result1 = sub100(num, const_value, 700);
    int result2 = addPrev(result1, 100);
   
    return 0;
}
",0.000375,0.24
101,plus_53,"#include <stdio.h>

int sub100(int n, int const_value, int i) {
    return i == 0 ? n : sub100(n - const_value, const_value, i - 1);
}

int addPrev(int n, int i) {
    return i == 0 ? n : addPrev(n + (n - 100), i - 1);
}

int main() {
    int num = 1000;
    const int const_value = 10;
    int result1 = sub100(num, const_value, 1000);
    int result2 = addPrev(result1, 2000);
   
    return 0;
}
",0.000489,0.31
102,plus_54,"#include <stdio.h>

#define MAX_N 5

void matrix_multiply(int A[][MAX_N+1], int B[][MAX_N], int C[][MAX_N]) {
    int i, j, k;
    for (i = 0; i <= MAX_N; i++) {
        for (j = 0; j < MAX_N; j++) {
            C[i][j] = 0;
            for (k = 0; k <= MAX_N; k++) {
                C[i][j] += A[i][k] * B[k][j];
            }
        }
    }
}

int main() {
    int n;
    for (n = 1; n <= MAX_N; n++) {
        int A[n+1][MAX_N+1], B[MAX_N+1][n], C[n+1][n];
        int i, j;

        // Initialize matrix A with random values
        for (i = 0; i <= n; i++) {
            for (j = 0; j <= n; j++) {
                A[i][j] = i + j;
            }
        }

        // Initialize matrix B with random values
        for (i = 0; i <= n; i++) {
            for (j = 0; j < n; j++) {
                B[i][j] = i - j;
            }
        }

        // Multiply matrices A and B to get matrix C
        matrix_multiply(A, B, C);

        // Print the result matrix C
        printf(""n = %d\n"", n);
        for (i = 0; i <= n; i++) {
            for (j = 0; j < n; j++) {
                printf(""%d "", C[i][j]);
            }
            printf(""\n"");
        }
        printf(""\n"");
    }

    return 0;
}
",0.000727,0.51
103,plus_55,"#include <stdio.h>

int main() {
    int num1 = 5;
    int num2 = 10;
    int sum = 0;
    int i, j;

    // Outer loop that runs 5 times
    for (i = 0; i < num1; i++) {

        // Inner loop that runs 10 times
        for (j = 0; j < num2; j++) {

            // Add i and j to the sum
            sum = sum + i + j;
        }

        // Print the sum after each inner loop iteration
        printf(""Sum after iteration %d of outer loop: %d\n"", i, sum);
    }

    // Print the final sum after both loops have completed
    printf(""Final sum: %d\n"", sum);

    return 0;
}
",0.000536,0.35
104,plus_56,"#include <stdio.h>
int main() {    

    //int number1, number2, sum;
	int sum1, sum2, sum3;
    
    //number1 = 10;
	//number1 = 20;

    // calculate the sum
    //sum = number1 + number2;
	
    sum1 = 20 + 4;
	sum2 = 200 + 40;
	sum3 = 8 + 1;
    //printf(""%d + %d = %d"", number1, number2, sum);
	printf(""%d,%d, %d"", sum1, sum2, sum3);
    return 0;
}
",0.000521,0.32
105,plus_57,"#include <stdio.h>

#define MATRIX_SIZE 100

int main() {
    int matrix1[MATRIX_SIZE][MATRIX_SIZE];
    int matrix2[MATRIX_SIZE][MATRIX_SIZE];
    int result[MATRIX_SIZE][MATRIX_SIZE];
    int column[MATRIX_SIZE];

    // Initialize matrices
    for (int i = 0; i < MATRIX_SIZE; i++) {
        for (int j = 0; j < MATRIX_SIZE; j++) {
            matrix1[i][j] = i + j;
            matrix2[i][j] = i - j;
            result[i][j] = 0;
        }
    }

    // Multiply matrices
    for (int i = 0; i < MATRIX_SIZE; i++) {
        for (int j = 0; j < MATRIX_SIZE; j++) {
            for (int k = 0; k < MATRIX_SIZE; k++) {
                result[i][j] += matrix1[i][k] * matrix2[k][j];
            }
        }
    }

    // Save each column in a vector
    for (int j = 0; j < MATRIX_SIZE; j++) {
        for (int i = 0; i < MATRIX_SIZE; i++) {
            column[i] = result[i][j];
        }
        
        // Do something with the column vector here
    }

    return 0;
}
",0.087153,101.72
106,plus_58,"#include <stdio.h>

#define MATRIX_SIZE 150

int main() {
    int matrix1[MATRIX_SIZE][MATRIX_SIZE];
    int matrix2[MATRIX_SIZE][MATRIX_SIZE];
    int result[MATRIX_SIZE][MATRIX_SIZE];
    int column[MATRIX_SIZE];

    // Initialize matrices
    for (int i = 0; i < MATRIX_SIZE; i++) {
        for (int j = 0; j < MATRIX_SIZE; j++) {
            matrix1[i][j] = i + j;
            matrix2[i][j] = i - j;
            result[i][j] = 0;
        }
    }

    // Multiply matrices
    for (int i = 0; i < MATRIX_SIZE; i++) {
        for (int j = 0; j < MATRIX_SIZE; j++) {
            for (int k = 0; k < MATRIX_SIZE; k++) {
                result[i][j] += matrix1[i][k] * matrix2[k][j];
            }
        }
    }

    // Save each column in a vector
    for (int j = 0; j < MATRIX_SIZE; j++) {
        for (int i = 0; i < MATRIX_SIZE; i++) {
            column[i] = result[i][j];
        }
        
        // Do something with the column vector here
    }

    return 0;
}
",0.216506,145.58
107,plus_59,"#include <stdio.h>

#define MATRIX_SIZE 175

int main() {
    int matrix1[MATRIX_SIZE][MATRIX_SIZE];
    int matrix2[MATRIX_SIZE][MATRIX_SIZE];
    int result[MATRIX_SIZE][MATRIX_SIZE];
    int column[MATRIX_SIZE];

    // Initialize matrices
    for (int i = 0; i < MATRIX_SIZE; i++) {
        for (int j = 0; j < MATRIX_SIZE; j++) {
            matrix1[i][j] = i + j;
            matrix2[i][j] = i - j;
            result[i][j] = 0;
        }
    }

    // Multiply matrices
    for (int i = 0; i < MATRIX_SIZE; i++) {
        for (int j = 0; j < MATRIX_SIZE; j++) {
            for (int k = 0; k < MATRIX_SIZE; k++) {
                result[i][j] += matrix1[i][k] * matrix2[k][j];
            }
        }
    }

    // Save each column in a vector
    for (int j = 0; j < MATRIX_SIZE; j++) {
        for (int i = 0; i < MATRIX_SIZE; i++) {
            column[i] = result[i][j];
        }
        
        // Do something with the column vector here
    }

    return 0;
}
",0.351166,251.73
108,plus_60,"#include <stdio.h>
#include <stdlib.h>
#include <time.h>

#define MATRIX_SIZE 25
#define NUM_MULTIPLIES 100

int main() {
    int matrix[MATRIX_SIZE][MATRIX_SIZE];
    int result[MATRIX_SIZE][MATRIX_SIZE];
    int i, j, k, n;

    // Seed the random number generator
    srand(time(NULL));

    // Initialize the matrix with random values
    for (i = 0; i < MATRIX_SIZE; i++) {
        for (j = 0; j < MATRIX_SIZE; j++) {
            matrix[i][j] = rand() % 10;
        }
    }

    // Multiply the matrix by itself n times
    for (n = 0; n < NUM_MULTIPLIES; n++) {
        // Initialize the result matrix to all zeros
        for (i = 0; i < MATRIX_SIZE; i++) {
            for (j = 0; j < MATRIX_SIZE; j++) {
                result[i][j] = 0;
            }
        }

        // Multiply the matrix by itself
        for (i = 0; i < MATRIX_SIZE; i++) {
            for (j = 0; j < MATRIX_SIZE; j++) {
                for (k = 0; k < MATRIX_SIZE; k++) {
                    result[i][j] += matrix[i][k] * matrix[k][j];
                }
            }
        }

        // Copy the result back into the matrix for the next iteration
        for (i = 0; i < MATRIX_SIZE; i++) {
            for (j = 0; j < MATRIX_SIZE; j++) {
                matrix[i][j] = result[i][j];
            }
        }
    }

    // Print the final matrix
    printf(""Final matrix:\n"");
    for (i = 0; i < MATRIX_SIZE; i++) {
        for (j = 0; j < MATRIX_SIZE; j++) {
            printf(""%d "", matrix[i][j]);
        }
        printf(""\n"");
    }

    return 0;
}
",0.125716,88.2
109,plus_61,"#include <stdio.h>
#include <stdlib.h>
#include <time.h>

#define MATRIX_SIZE 25
#define NUM_MULTIPLIES 200

int main() {
    int matrix[MATRIX_SIZE][MATRIX_SIZE];
    int result[MATRIX_SIZE][MATRIX_SIZE];
    int i, j, k, n;

    // Seed the random number generator
    srand(time(NULL));

    // Initialize the matrix with random values
    for (i = 0; i < MATRIX_SIZE; i++) {
        for (j = 0; j < MATRIX_SIZE; j++) {
            matrix[i][j] = rand() % 10;
        }
    }

    // Multiply the matrix by itself n times
    for (n = 0; n < NUM_MULTIPLIES; n++) {
        // Initialize the result matrix to all zeros
        for (i = 0; i < MATRIX_SIZE; i++) {
            for (j = 0; j < MATRIX_SIZE; j++) {
                result[i][j] = 0;
            }
        }

        // Multiply the matrix by itself
        for (i = 0; i < MATRIX_SIZE; i++) {
            for (j = 0; j < MATRIX_SIZE; j++) {
                for (k = 0; k < MATRIX_SIZE; k++) {
                    result[i][j] += matrix[i][k] * matrix[k][j];
                }
            }
        }

        // Copy the result back into the matrix for the next iteration
        for (i = 0; i < MATRIX_SIZE; i++) {
            for (j = 0; j < MATRIX_SIZE; j++) {
                matrix[i][j] = result[i][j];
            }
        }
    }

    // Print the final matrix
    printf(""Final matrix:\n"");
    for (i = 0; i < MATRIX_SIZE; i++) {
        for (j = 0; j < MATRIX_SIZE; j++) {
            printf(""%d "", matrix[i][j]);
        }
        printf(""\n"");
    }

    return 0;
}
",0.249832,170.2
110,plus_62,"#include <stdio.h>
#include <stdlib.h>

#define ROWS 1000
#define COLS 1000

int main() {
    int i, j;
    int **A = (int **)malloc(ROWS * sizeof(int *));
    int **B = (int **)malloc(ROWS * sizeof(int *));
    int **C = (int **)malloc(ROWS * sizeof(int *));
    for (i = 0; i < ROWS; i++) {
        A[i] = (int *)malloc(COLS * sizeof(int));
        B[i] = (int *)malloc(COLS * sizeof(int));
        C[i] = (int *)malloc(COLS * sizeof(int));
    }

    // Initialize matrix A with random values
    for (i = 0; i < ROWS; i++) {
        for (j = 0; j < COLS; j++) {
            A[i][j] = i + j;
        }
    }

    // Initialize matrix B with random values
    for (i = 0; i < ROWS; i++) {
        for (j = 0; j < COLS; j++) {
            B[i][j] = i - j;
        }
    }

    // Add matrices A and B to get matrix C
    for (i = 0; i < ROWS; i++) {
        for (j = 0; j < COLS; j++) {
            C[i][j] = A[i][j] + B[i][j];
        }
    }

  

    // Free the memory allocated for the matrices
    for (i = 0; i < ROWS; i++) {
        free(A[i]);
        free(B[i]);
        free(C[i]);
    }
    free(A);
    free(B);
    free(C);

    return 0;
}
",0.150545,92.37
111,plus_63,"#include <stdio.h>
#include <stdlib.h>

#define ROWS 1000
#define COLS 1000

int main() {
    int i, j;
    int **A = (int **)malloc(ROWS * sizeof(int *));
    int **B = (int **)malloc(ROWS * sizeof(int *));
    int **C = (int **)malloc(ROWS * sizeof(int *));
    for (i = 0; i < ROWS; i++) {
        A[i] = (int *)malloc(COLS * sizeof(int));
        B[i] = (int *)malloc(COLS * sizeof(int));
        C[i] = (int *)malloc(COLS * sizeof(int));
    }

    // Initialize matrix A with random values
    for (i = 0; i < ROWS; i++) {
        for (j = 0; j < COLS; j++) {
            A[i][j] = i + j;
        }
    }

    // Initialize matrix B with random values
    for (i = 0; i < ROWS; i++) {
        for (j = 0; j < COLS; j++) {
            B[i][j] = i - j;
        }
    }

    // Add matrices A and B to get matrix C
    for (i = 0; i < ROWS; i++) {
        for (j = 0; j < COLS; j++) {
            C[i][j] = A[i][j] + B[i][j];
        }
    }

    // Print the result matrix C
    for (i = 0; i < ROWS; i++) {
        for (j = 0; j < COLS; j++) {
            printf(""%d "", C[i][j]);
        }
        printf(""\n"");
    }

    // Free the memory allocated for the matrices
    for (i = 0; i < ROWS; i++) {
        free(A[i]);
        free(B[i]);
        free(C[i]);
    }
    free(A);
    free(B);
    free(C);

    return 0;
}
",1.264883,1082
112,plus_64,"#include <stdio.h>
#include <stdlib.h>

#define ROWS 2500
#define COLS 2500

int main() {
    int i, j;
    int **A = (int **)malloc(ROWS * sizeof(int *));
    int **B = (int **)malloc(ROWS * sizeof(int *));
    int **C = (int **)malloc(ROWS * sizeof(int *));
    for (i = 0; i < ROWS; i++) {
        A[i] = (int *)malloc(COLS * sizeof(int));
        B[i] = (int *)malloc(COLS * sizeof(int));
        C[i] = (int *)malloc(COLS * sizeof(int));
    }

    // Initialize matrix A with random values
    for (i = 0; i < ROWS; i++) {
        for (j = 0; j < COLS; j++) {
            A[i][j] = i + j;
        }
    }

    // Initialize matrix B with random values
    for (i = 0; i < ROWS; i++) {
        for (j = 0; j < COLS; j++) {
            B[i][j] = i - j;
        }
    }

    // Add matrices A and B to get matrix C
    for (i = 0; i < ROWS; i++) {
        for (j = 0; j < COLS; j++) {
            C[i][j] = A[i][j] + B[i][j];
        }
    }

  

    // Free the memory allocated for the matrices
    for (i = 0; i < ROWS; i++) {
        free(A[i]);
        free(B[i]);
        free(C[i]);
    }
    free(A);
    free(B);
    free(C);

    return 0;
}
",0.934696,615.76
113,plus_65,"#include <stdio.h>

int main() {
    int num1 = 5000;
    int num2 = 10000;
    int sum = 0;
    int i, j;

    // Outer loop that runs 5 times
    for (i = 0; i < num1; i++) {

        // Inner loop that runs 10 times
        for (j = 0; j < num2; j++) {

            // Add i and j to the sum
            sum = sum + i + j;
        }

        // Print the sum after each inner loop iteration
        printf(""Sum after iteration %d of outer loop: %d\n"", i, sum);
    }

    // Print the final sum after both loops have completed
    printf(""Final sum: %d\n"", sum);

    return 0;
}
",1.014578,727.81
114,plus_66,"#include <stdio.h>

int main() {
    int num1 = 5000;
    int num2 = 10000;
    int sum = 0;
    int i, j;

    // Outer loop that runs 5 times
    for (i = 0; i < num1; i++) {

        // Inner loop that runs 10 times
        for (j = 0; j < num2; j++) {

            // Add i and j to the sum
            sum = sum + i + j;
        }

    }

    // Print the final sum after both loops have completed
    printf(""Final sum: %d\n"", sum);

    return 0;
}
",1.00061,743.49
115,plus_67,"#include <stdio.h>

#define ROWS 25
#define COLS 20

int main() {
    int nums[1000];
    int results[1001];
    int matrix[ROWS][COLS];
    int i, j, k;

    // Initialize the array with 1000 integers
    for (i = 0; i < 1000; i++) {
        nums[i] = i + 1;
    }

    // Calculate the results for n = 2 to 1002
    for (i = 2; i <= 1002; i++) {
        int sum = 0;
        for (j = 0; j < 1000; j++) {
            sum += nums[j];
        }
        results[i - 2] = sum - i;
    }

    // Construct the 25x20 matrix
    k = 0;
    for (i = 0; i < ROWS; i++) {
        for (j = 0; j < COLS; j++) {
            matrix[i][j] = results[k++];
        }
    }

    // Print the matrix
    for (i = 0; i < ROWS; i++) {
        for (j = 0; j < COLS; j++) {
            printf(""%d "", matrix[i][j]);
        }
        printf(""\n"");
    }

    return 0;
}
",0.018255,13.67
116,plus_68,"#include <stdio.h>

#define ROWS 150
#define COLS 100

int main() {
    int nums[10000];
    int results[10001];
    int matrix[ROWS][COLS];
    int i, j, k;

    // Initialize the array with 1000 integers
    for (i = 0; i < 1000; i++) {
        nums[i] = i + 1;
    }

    // Calculate the results for n = 2 to 1002
    for (i = 2; i <= 1002; i++) {
        int sum = 0;
        for (j = 0; j < 1000; j++) {
            sum += nums[j];
        }
        results[i - 2] = sum - i;
    }

    // Construct the 25x20 matrix
    k = 0;
    for (i = 0; i < ROWS; i++) {
        for (j = 0; j < COLS; j++) {
            matrix[i][j] = results[k++];
        }
    }

    // Print the matrix
    for (i = 0; i < ROWS; i++) {
        for (j = 0; j < COLS; j++) {
            printf(""%d "", matrix[i][j]);
        }
        printf(""\n"");
    }

    return 0;
}
",0.034039,27.01
117,plus_69,"#include <stdio.h>

#define ROWS 100
#define COLS 100

void add_matrices(int a[][COLS], int b[][COLS], int c[][COLS]);
void subtract_matrices(int a[][COLS], int b[][COLS], int c[][COLS]);
void multiply_matrices(int a[][COLS], int b[][COLS], int c[][COLS]);

int main() {
    int a[ROWS][COLS];
    int b[ROWS][COLS];
    int c[ROWS][COLS];
    int d[ROWS][COLS];
    int i, j;

    // Initialize matrices a and b with some values
    for (i = 0; i < ROWS; i++) {
        for (j = 0; j < COLS; j++) {
            a[i][j] = i + j;
            b[i][j] = i * j;
        }
    }

    // Add matrices a and b and store the result in c
    add_matrices(a, b, c);

    // Subtract matrix b from matrix a and store the result in d
    subtract_matrices(a, b, d);

    // Multiply matrices c and d and store the result in c
    multiply_matrices(c, d, c);

    // Print the result matrix c
    for (i = 0; i < ROWS; i++) {
        for (j = 0; j < COLS; j++) {
            printf(""%d "", c[i][j]);
        }
        printf(""\n"");
    }

    return 0;
}

void add_matrices(int a[][COLS], int b[][COLS], int c[][COLS]) {
    int i, j;

    for (i = 0; i < ROWS; i++) {
        for (j = 0; j < COLS; j++) {
            c[i][j] = a[i][j] + b[i][j];
        }
    }
}

void subtract_matrices(int a[][COLS], int b[][COLS], int c[][COLS]) {
    int i, j;

    for (i = 0; i < ROWS; i++) {
        for (j = 0; j < COLS; j++) {
            c[i][j] = a[i][j] - b[i][j];
        }
    }
}

void multiply_matrices(int a[][COLS], int b[][COLS], int c[][COLS]) {
    int i, j, k;

    for (i = 0; i < ROWS; i++) {
        for (j = 0; j < COLS; j++) {
            c[i][j] = 0;
            for (k = 0; k < ROWS; k++) {
                c[i][j] += a[i][k] * b[k][j];
            }
        }
    }
}
",0.116278,83.38
118,plus_70,"#include <stdio.h>

#define ROWS1 100
#define COLS1 200

#define ROWS2 200
#define COLS2 500

#define ROWS3 500
#define COLS3 750

void multiply_matrices(int a[][COLS1], int b[][COLS2], int c[][COLS3]);

int main() {
    int a[ROWS1][COLS1];
    int b[ROWS2][COLS2];
    int c[ROWS3][COLS3];
    int i, j;

    // Initialize matrices a and b with some values
    for (i = 0; i < ROWS1; i++) {
        for (j = 0; j < COLS1; j++) {
            a[i][j] = i + j;
        }
    }

    for (i = 0; i < ROWS2; i++) {
        for (j = 0; j < COLS2; j++) {
            b[i][j] = i * j;
        }
    }

    // Multiply matrices a, b, and c and store the result in c
    multiply_matrices(a, b, c);

    // Add the elements in the first and second rows of matrix c and store the result in the first element
    c[0][0] = c[0][0] + c[1][0];

    // Subtract the elements in the third and fourth rows of matrix c and store the result in the first element
    c[0][0] = c[0][0] - c[2][0] - c[3][0];

    // Print the final result
    printf(""The result is %d\n"", c[0][0]);

    return 0;
}

void multiply_matrices(int a[][COLS1], int b[][COLS2], int c[][COLS3]) {
    int i, j, k;

    for (i = 0; i < ROWS1; i++) {
        for (j = 0; j < COLS3; j++) {
            c[i][j] = 0;
            for (k = 0; k < COLS1; k++) {
                c[i][j] += a[i][k] * b[k][j];
            }
        }
    }
}
",1.1731,809.39
119,plus_71,"#include <stdio.h>

#define ROWS1 100
#define COLS1 200

#define ROWS2 200
#define COLS2 250

#define ROWS3 250
#define COLS3 450

void multiply_matrices(int a[][COLS1], int b[][COLS2], int c[][COLS3]);

int main() {
    int a[ROWS1][COLS1];
    int b[ROWS2][COLS2];
    int c[ROWS3][COLS3];
    int i, j;

    // Initialize matrices a and b with some values
    for (i = 0; i < ROWS1; i++) {
        for (j = 0; j < COLS1; j++) {
            a[i][j] = i + j;
        }
    }

    for (i = 0; i < ROWS2; i++) {
        for (j = 0; j < COLS2; j++) {
            b[i][j] = i * j;
        }
    }

    // Multiply matrices a, b, and c and store the result in c
    multiply_matrices(a, b, c);

    // Add the elements in the first and second rows of matrix c and store the result in the first element
    c[0][0] = c[0][0] + c[1][0];

    // Subtract the elements in the third and fourth rows of matrix c and store the result in the first element
    c[0][0] = c[0][0] - c[2][0] - c[3][0];

    // Print the final result
    printf(""The result is %d\n"", c[0][0]);

    return 0;
}

void multiply_matrices(int a[][COLS1], int b[][COLS2], int c[][COLS3]) {
    int i, j, k;

    for (i = 0; i < ROWS1; i++) {
        for (j = 0; j < COLS3; j++) {
            c[i][j] = 0;
            for (k = 0; k < COLS1; k++) {
                c[i][j] += a[i][k] * b[k][j];
            }
        }
    }
}
",0.699123,491.77
120,plus_72,"#include <stdio.h>
#include <stdlib.h>
#include <time.h>

#define ARRAY_SIZE 1000000

int main() {
    int array1[ARRAY_SIZE];
    int array2[ARRAY_SIZE];
    int i, j, sum = 0, diff = 0;

    // Initialize the arrays with random values
    srand(time(NULL));
    for (i = 0; i < ARRAY_SIZE; i++) {
        array1[i] = rand();
        array2[i] = rand();
    }

    // Add the arrays using a loop
    for (i = 0; i < ARRAY_SIZE; i++) {
        sum += array1[i] + array2[i];
    }

    // Subtract the arrays using a loop
    for (i = 0; i < ARRAY_SIZE; i++) {
        diff -= array1[i] - array2[i];
    }

    // Print the results
    printf(""The sum of the arrays is %d\n"", sum);
    printf(""The difference of the arrays is %d\n"", diff);

    return 0;
}
",0.306743,228.83
121,plus_73,"#include <stdio.h>

#define ROWS 277// Number of rows in the resulting matrix
#define COLS 274 // Number of columns in the resulting matrix

int main() {
  int A[ROWS/2][COLS/2] = {{1, 2}, {3, 4}}; // First matrix
  int B[ROWS/2][COLS/2] = {{5, 6}, {7, 8}}; // Second matrix
  int C[ROWS/2][COLS/2] = {{9, 10}, {11, 12}}; // Third matrix
  int D[ROWS/2][COLS/2] = {{13, 14}, {15, 16}}; // Fourth matrix
  int E[ROWS][COLS] = {0}; // Resulting matrix

  // Perform matrix multiplication E = (A*B)*(C*D)
  for (int i = 0; i < ROWS/2; i++) {
    for (int j = 0; j < COLS/2; j++) {
      for (int k = 0; k < COLS/2; k++) {
        E[i*2][j*2] += A[i][k] * B[k][j];
        E[i*2][j*2+1] += A[i][k] * B[k][j+1];
        E[i*2+1][j*2] += A[i+1][k] * B[k][j];
        E[i*2+1][j*2+1] += A[i+1][k] * B[k][j+1];
      }
    }
  }

  for (int i = 0; i < ROWS/2; i++) {
    for (int j = 0; j < COLS/2; j++) {
      for (int k = 0; k < COLS/2; k++) {
        E[i*2][j*2] += E[i*2][j*2+k] * C[k][j];
        E[i*2][j*2+1] += E[i*2][j*2+k+1] * C[k][j];
        E[i*2+1][j*2] += E[i*2+1][j*2+k] * C[k][j];
        E[i*2+1][j*2+1] += E[i*2+1][j*2+k+1] * C[k][j];
      }
    }
  }

  for (int i = 0; i < ROWS/2; i++) {
    for (int j = 0; j < COLS/2; j++) {
      for (int k = 0; k < COLS/2; k++) {
        E[i*2][j*2] += E[i*2+k][j*2] * D[k][j];
        E[i*2][j*2+1] += E[i*2+k][j*2+1] * D[k][j];
        E[i*2+1][j*2] += E[i*2+k+1][j*2] * D[k][j];
        E[i*2+1][j*2+1] += E[i*2+k+1][j*2+1] * D[k][j];
      }
    }
  }

  return 0;
}
",2.352264,1510.16
122,plus_74,"#include <stdio.h>
#include <stdlib.h>
#include <time.h>

#define ROWS 1000 // Number of rows in the matrix
#define COLS 100 // Number of columns in the matrix

int main() {
  int A[ROWS][COLS]; // First matrix
  int B[ROWS][COLS]; // Second matrix
  int C[ROWS][COLS]; // Resulting matrix

  // Initialize random seed
  srand(time(NULL));

  // Initialize matrices A and B with random values
  for (int i = 0; i < ROWS; i++) {
    for (int j = 0; j < COLS; j++) {
      A[i][j] = rand() % 100; // Random value between 0 and 99
      B[i][j] = rand() % 100; // Random value between 0 and 99
    }
  }

  // Perform matrix addition C = A + B
  for (int i = 0; i < ROWS; i++) {
    for (int j = 0; j < COLS; j++) {
      C[i][j] = A[i][j] + B[i][j];
    }
  }

  // Perform matrix subtraction C = A - B
  for (int i = 0; i < ROWS; i++) {
    for (int j = 0; j < COLS; j++) {
      C[i][j] = A[i][j] - B[i][j];
    }
  }

  // Print out the resulting matrix C
  printf(""Resulting matrix C:\n"");
  for (int i = 0; i < ROWS; i++) {
    for (int j = 0; j < COLS; j++) {
      printf(""%d "", C[i][j]);
    }
    printf(""\n"");
  }

  return 0;
}
",0.177251,130.06
123,plus_75,"#include <stdio.h>

#define ROWS 200 // Number of rows in the resulting matrix
#define COLS 200 // Number of columns in the resulting matrix

int main() {
  int A[ROWS/2][COLS/2] = {{1, 2}, {3, 4}}; // First matrix
  int B[ROWS/2][COLS/2] = {{5, 6}, {7, 8}}; // Second matrix
  int C[ROWS/2][COLS/2] = {{9, 10}, {11, 12}}; // Third matrix
  int D[ROWS/2][COLS/2] = {{13, 14}, {15, 16}}; // Fourth matrix
  int E[ROWS][COLS] = {0}; // Resulting matrix

  // Perform matrix multiplication E = (A*B)*(C*D)
  for (int i = 0; i < ROWS/2; i++) {
    for (int j = 0; j < COLS/2; j++) {
      for (int k = 0; k < COLS/2; k++) {
        E[i*2][j*2] += A[i][k] * B[k][j];
        E[i*2][j*2+1] += A[i][k] * B[k][j+1];
        E[i*2+1][j*2] += A[i+1][k] * B[k][j];
        E[i*2+1][j*2+1] += A[i+1][k] * B[k][j+1];
      }
    }
  }

  for (int i = 0; i < ROWS/2; i++) {
    for (int j = 0; j < COLS/2; j++) {
      for (int k = 0; k < COLS/2; k++) {
        E[i*2][j*2] += E[i*2][j*2+k] * C[k][j];
        E[i*2][j*2+1] += E[i*2][j*2+k+1] * C[k][j];
        E[i*2+1][j*2] += E[i*2+1][j*2+k] * C[k][j];
        E[i*2+1][j*2+1] += E[i*2+1][j*2+k+1] * C[k][j];
      }
    }
  }

  for (int i = 0; i < ROWS/2; i++) {
    for (int j = 0; j < COLS/2; j++) {
      for (int k = 0; k < COLS/2; k++) {
        E[i*2][j*2] += E[i*2+k][j*2] * D[k][j];
        E[i*2][j*2+1] += E[i*2+k][j*2+1] * D[k][j];
        E[i*2+1][j*2] += E[i*2+k+1][j*2] * D[k][j];
        E[i*2+1][j*2+1] += E[i*2+k+1][j*2+1] * D[k][j];
      }
    }
  }

  return 0;
}
",1.144907,740.96
124,plus_76,"#include <stdio.h>

int main() {
  int n = 10;
  int count = 0;

  for (int i = 0; i < n; i++) {
    for (int j = 0; j < n; j++) {
      for (int k = 0; k < n; k++) {
        for (int l = 0; l < n; l++) {
          for (int m = 0; m < n; m++) {
            count++;
            printf(""%d "", 5);
          }
        }
      }
    }
  }

  printf(""\nCount: %d\n"", count);

  return 0;
}
",0.402907,317.36
125,plus_77,"#include <stdio.h>

int main() {
  int n = 10;
  int count = 0;

  for (int i = 0; i < n; i++) {
    for (int j = 0; j < n; j++) {
      for (int k = 0; k < n; k++) {
        for (int l = 0; l < n; l++) {
          for (int m = 0; m < n; m++) {
            count++;
            printf(""%d "", 5);
          }
        }
      }
    }
  }

  printf(""\nCount: %d\n"", count);

  return 0;
}
",0.108955,87.24
126,plus_78,"#include <stdio.h>

int main() {
  int n = 15;
  int count = 0;

  for (int i = 0; i < n; i++) {
    for (int j = 0; j < n; j++) {
      for (int k = 0; k < n; k++) {
        for (int l = 0; l < n; l++) {
          for (int m = 0; m < n; m++) {
            count++;
            printf(""%d "", 5);
          }
        }
      }
    }
  }

  printf(""\nCount: %d\n"", count);

  return 0;
}
",0.82331,689.14
